id,artifact_id,group_id,version,signature,method
TarsysAndroidSupport+support,TarsysAndroidSupport,support,1.0.0.1,Landroid.accounts.AccountManager;->getAccounts,[Lcom/github/tarsys/android/support/utilities/AndroidSupport; LoadUserAccounts (Landroid/content/Context; Ljava/lang/String;)Ljava/util/ArrayList;]
TarsysAndroidSupport+support,TarsysAndroidSupport,support,1.0.0.1,Landroid.accounts.AccountManager;->getAccountsByType,[Lcom/github/tarsys/android/support/utilities/AndroidSupport; LoadUserAccounts (Landroid/content/Context; Ljava/lang/String;)Ljava/util/ArrayList;]
appice.io.android+sdk,appice.io.android,sdk,1.1.24,Landroid.accounts.AccountManager;->getAccounts,[Lsemusi/context/counthandler/e; b (Lorg/json/JSONArray;)Ljava/util/ArrayList;]
au.com.domain+accounts-autocomplete,au.com.domain,accounts-autocomplete,1.0.0,Landroid.accounts.AccountManager;->getAccounts,[Lau/com/domain/AccountsAutoCompleteTextView; getGoogleAccountEmails (Landroid/content/Context;)Ljava/util/List;]
au.com.domain+accounts-autocomplete,au.com.domain,accounts-autocomplete,1.0.0,Landroid.accounts.AccountManager;->getAccountsByType,[Lau/com/domain/AccountsAutoCompleteTextView; getGoogleAccountEmails (Landroid/content/Context;)Ljava/util/List;]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.0,Landroid.accounts.AccountManager;->getAccounts,[Lcn/ieclipse/af/gauth/GlsAuthorizer; getAccount (Ljava/lang/String;)Landroid/accounts/Account;]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.0,Landroid.accounts.AccountManager;->getAccounts,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.0,Landroid.accounts.AccountManager;->getAccountsByType,[Lcn/ieclipse/af/gauth/GlsAuthorizer; getAccount (Ljava/lang/String;)Landroid/accounts/Account;]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.0,Landroid.accounts.AccountManager;->getAccountsByType,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.0,Landroid.accounts.AccountManager;->getAccountsByTypeAndFeatures,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.1,Landroid.accounts.AccountManager;->getAccounts,[Lcn/ieclipse/af/gauth/GlsAuthorizer; getAccount (Ljava/lang/String;)Landroid/accounts/Account;]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.1,Landroid.accounts.AccountManager;->getAccounts,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.1,Landroid.accounts.AccountManager;->getAccountsByType,[Lcn/ieclipse/af/gauth/GlsAuthorizer; getAccount (Ljava/lang/String;)Landroid/accounts/Account;]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.1,Landroid.accounts.AccountManager;->getAccountsByType,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,1.0.1,Landroid.accounts.AccountManager;->getAccountsByTypeAndFeatures,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,2.1.0,Landroid.accounts.AccountManager;->getAccounts,[Lcn/ieclipse/af/gauth/GlsAuthorizer; getAccount (Ljava/lang/String;)Landroid/accounts/Account;]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,2.1.0,Landroid.accounts.AccountManager;->getAccounts,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,2.1.0,Landroid.accounts.AccountManager;->getAccountsByType,[Lcn/ieclipse/af/gauth/GlsAuthorizer; getAccount (Ljava/lang/String;)Landroid/accounts/Account;]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,2.1.0,Landroid.accounts.AccountManager;->getAccountsByType,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.ieclipse.af+af-library,cn.ieclipse.af,af-library,2.1.0,Landroid.accounts.AccountManager;->getAccountsByTypeAndFeatures,[Lcn/ieclipse/af/gauth/GlsAuthorizer; fetchAccounts (Lcn/ieclipse/af/gauth/Authorizer$AuthorizationListener;)V]
cn.redcdn+codeofJMeetingSDK_v228,cn.redcdn,codeofJMeetingSDK_v228,0.1.3,Landroid.accounts.AccountManager;->getAccounts,"[Lcn/redcdn/util/CommonUtil; accountLogout (Landroid/content/Context;)V, Lcn/redcdn/util/ContactCommonUtil; getUesrAccount (Landroid/content/Context;)Ljava/lang/String;]"
cn.redcdn+codeofJMeetingSDK_v228,cn.redcdn,codeofJMeetingSDK_v228,0.1.3,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcn/redcdn/util/CommonUtil; accountLogout (Landroid/content/Context;)V, Lcn/redcdn/util/ContactCommonUtil; getUesrAccount (Landroid/content/Context;)Ljava/lang/String;]"
co.windly+ktx-account-runtime,co.windly,ktx-account-runtime,1.0.0,Landroid.accounts.AccountManager;->getAccounts,"[Lco/windly/ktxaccount/runtime/service/SimpleAccountAuthenticator; addAccount (Landroid/accounts/AccountAuthenticatorResponse; Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Landroid/os/Bundle;)Landroid/os/Bundle;, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme$removeAccount$1; run ()V, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme; retrieveAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme; retrieveNullableAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
co.windly+ktx-account-runtime,co.windly,ktx-account-runtime,1.0.0,Landroid.accounts.AccountManager;->getAccountsByType,"[Lco/windly/ktxaccount/runtime/service/SimpleAccountAuthenticator; addAccount (Landroid/accounts/AccountAuthenticatorResponse; Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Landroid/os/Bundle;)Landroid/os/Bundle;, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme$removeAccount$1; run ()V, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme; retrieveAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme; retrieveNullableAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
co.windly+ktx-account-runtime,co.windly,ktx-account-runtime,1.0.1,Landroid.accounts.AccountManager;->getAccounts,"[Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme; retrieveNullableAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme$removeAccount$1; run ()V, Lco/windly/ktxaccount/runtime/service/SimpleAccountAuthenticator; addAccount (Landroid/accounts/AccountAuthenticatorResponse; Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Landroid/os/Bundle;)Landroid/os/Bundle;, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme; retrieveAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
co.windly+ktx-account-runtime,co.windly,ktx-account-runtime,1.0.1,Landroid.accounts.AccountManager;->getAccountsByType,"[Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme; retrieveNullableAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme$removeAccount$1; run ()V, Lco/windly/ktxaccount/runtime/service/SimpleAccountAuthenticator; addAccount (Landroid/accounts/AccountAuthenticatorResponse; Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Landroid/os/Bundle;)Landroid/os/Bundle;, Lco/windly/ktxaccount/runtime/scheme/BaseAccountScheme; retrieveAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
co.windly+ktx-account-runtime,co.windly,ktx-account-runtime,1.1.3,Landroid.accounts.AccountManager;->getAccounts,"[Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme; retrieveNullableAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme; retrieveAccount ()Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/service/SimpleAccountAuthenticator; addAccount (Landroid/accounts/AccountAuthenticatorResponse; Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Landroid/os/Bundle;)Landroid/os/Bundle;, Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme$removeAccount$1; run ()V, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme; retrieveNullableAccount ()Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme$clearExistingAccounts$1; run ()V, Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme; retrieveAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
co.windly+ktx-account-runtime,co.windly,ktx-account-runtime,1.1.3,Landroid.accounts.AccountManager;->getAccountsByType,"[Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme; retrieveNullableAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme; retrieveAccount ()Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/service/SimpleAccountAuthenticator; addAccount (Landroid/accounts/AccountAuthenticatorResponse; Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Landroid/os/Bundle;)Landroid/os/Bundle;, Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme$removeAccount$1; run ()V, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme; retrieveNullableAccount ()Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme$clearExistingAccounts$1; run ()V, Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme; retrieveAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
co.windly+ktx-account-runtime,co.windly,ktx-account-runtime,1.1.4,Landroid.accounts.AccountManager;->getAccounts,"[Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme; retrieveNullableAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme; retrieveAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme; retrieveAccount ()Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme$removeAccount$1; run ()V, Lco/windly/ktxaccount/runtime/service/SimpleAccountAuthenticator; addAccount (Landroid/accounts/AccountAuthenticatorResponse; Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Landroid/os/Bundle;)Landroid/os/Bundle;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme; retrieveNullableAccount ()Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme$clearExistingAccounts$1; run ()V]"
co.windly+ktx-account-runtime,co.windly,ktx-account-runtime,1.1.4,Landroid.accounts.AccountManager;->getAccountsByType,"[Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme; retrieveNullableAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme; retrieveAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme; retrieveAccount ()Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/MultipleAccountScheme$removeAccount$1; run ()V, Lco/windly/ktxaccount/runtime/service/SimpleAccountAuthenticator; addAccount (Landroid/accounts/AccountAuthenticatorResponse; Ljava/lang/String; Ljava/lang/String; [Ljava/lang/String; Landroid/os/Bundle;)Landroid/os/Bundle;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme; retrieveNullableAccount ()Landroid/accounts/Account;, Lco/windly/ktxaccount/runtime/scheme/SingleAccountScheme$clearExistingAccounts$1; run ()V]"
com.aitype+aitype-external-themes-sdk,com.aitype,aitype-external-themes-sdk,1.1.02,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/aitype/installation/b; c (Landroid/content/Context;)[Landroid/accounts/Account;, Lcom/b/e/b; h ()Ljava/lang/String;, Lcom/aitype/installation/k; a (Landroid/content/Context;)Ljava/lang/String;]"
com.aitype+aitype-external-themes-sdk,com.aitype,aitype-external-themes-sdk,1.1.02,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/aitype/installation/b; d (Landroid/content/Context;)Lcom/aitype/installation/b$b;, Lcom/aitype/installation/k; a (Landroid/content/Context;)Ljava/lang/String;]"
com.aitype+aitype-external-themes-sdk,com.aitype,aitype-external-themes-sdk,1.1.02,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/aitype/installation/b; d (Landroid/content/Context;)Lcom/aitype/installation/b$b;, Lcom/aitype/installation/k; a (Landroid/content/Context;)Ljava/lang/String;]"
com.aitype+aitype-external-themes-sdk,com.aitype,aitype-external-themes-sdk,1.1.03,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/b/e/b; h ()Ljava/lang/String;, Lcom/aitype/installation/b; c (Landroid/content/Context;)[Landroid/accounts/Account;, Lcom/aitype/installation/k; a (Landroid/content/Context;)Ljava/lang/String;]"
com.aitype+aitype-external-themes-sdk,com.aitype,aitype-external-themes-sdk,1.1.03,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/aitype/installation/k; a (Landroid/content/Context;)Ljava/lang/String;, Lcom/aitype/installation/b; d (Landroid/content/Context;)Lcom/aitype/installation/b$b;]"
com.aitype+aitype-external-themes-sdk,com.aitype,aitype-external-themes-sdk,1.1.03,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/aitype/installation/k; a (Landroid/content/Context;)Ljava/lang/String;, Lcom/aitype/installation/b; d (Landroid/content/Context;)Lcom/aitype/installation/b$b;]"
com.andretietz.retroauth+android-accountmanager,com.andretietz.retroauth,android-accountmanager,3.2.0,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AndroidAccountManagerOwnerStorage; getOwner (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+android-accountmanager,com.andretietz.retroauth,android-accountmanager,3.2.0,Landroid.accounts.AccountManager;->getAccounts,[Lcom/andretietz/retroauth/AndroidAccountManagerOwnerStorage; getOwners (Ljava/lang/String;)Ljava/util/List;]
com.andretietz.retroauth+android-accountmanager,com.andretietz.retroauth,android-accountmanager,3.2.0,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AndroidAccountManagerOwnerStorage; getOwner (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,2.3.2,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/andretietz/retroauth/AuthAccountManager; newChooseAccountIntent (Ljava/lang/String;)Landroid/content/Intent;, Lcom/andretietz/retroauth/AuthAccountManager; getAccountByName (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AuthAccountManager; accountAmount (Ljava/lang/String;)I, Lcom/andretietz/retroauth/AndroidOwnerManager; showAccountPickerDialog (Ljava/lang/String; Z)Ljava/lang/String;, Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,2.3.2,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/andretietz/retroauth/AuthAccountManager; newChooseAccountIntent (Ljava/lang/String;)Landroid/content/Intent;, Lcom/andretietz/retroauth/AuthAccountManager; getAccountByName (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AuthAccountManager; accountAmount (Ljava/lang/String;)I, Lcom/andretietz/retroauth/AndroidOwnerManager; showAccountPickerDialog (Ljava/lang/String; Z)Ljava/lang/String;, Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,3.0.0-beta11,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/andretietz/retroauth/AndroidOwnerManager; getOwner (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AndroidOwnerManager$ShowDialogPickerTask; call ()Landroid/accounts/Account;, Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,3.0.0-beta11,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/andretietz/retroauth/AndroidOwnerManager; getOwner (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AndroidOwnerManager$ShowDialogPickerTask; call ()Landroid/accounts/Account;, Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,3.0.1,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AndroidOwnerStorage; getOwner (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,3.0.1,Landroid.accounts.AccountManager;->getAccounts,[Lcom/andretietz/retroauth/AndroidOwnerStorage; getOwners (Ljava/lang/String;)Ljava/util/List;]
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,3.0.1,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AndroidOwnerStorage; getOwner (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,3.1.0,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/andretietz/retroauth/AndroidOwnerStorage; getOwner (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,3.1.0,Landroid.accounts.AccountManager;->getAccounts,[Lcom/andretietz/retroauth/AndroidOwnerStorage; getOwners (Ljava/lang/String;)Ljava/util/List;]
com.andretietz.retroauth+retroauth-android,com.andretietz.retroauth,retroauth-android,3.1.0,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/andretietz/retroauth/AndroidOwnerStorage; getOwner (Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/andretietz/retroauth/AuthenticationActivity; createOrGetAccount (Ljava/lang/String;)Landroid/accounts/Account;]"
com.appspress.single-source-sdk+account-manager-component,com.appspress.single-source-sdk,account-manager-component,1.0.0,Landroid.accounts.AccountManager;->getAccounts,[Lcom/appspress/component/accountmanager/SingleSourceAccountManager; getGoogleAccounts ()Ljava/util/List;]
com.balsikandar.android+crashreporter,com.balsikandar.android,crashreporter,1.0.9,Landroid.accounts.AccountManager;->getAccounts,[Lcom/balsikandar/crashreporter/utils/AppUtils; getUserIdentity (Landroid/content/Context;)Ljava/lang/String;]
com.balsikandar.android+crashreporter,com.balsikandar.android,crashreporter,1.1.0,Landroid.accounts.AccountManager;->getAccounts,[Lcom/balsikandar/crashreporter/utils/AppUtils; getUserIdentity (Landroid/content/Context;)Ljava/lang/String;]
com.beatop+plugins,com.beatop,plugins,1.0.1,Landroid.accounts.AccountManager;->getAccounts,[Lorg/apache/cordova/contacts/ContactAccessorSdk5; save (Lorg/json/JSONObject;)Ljava/lang/String;]
com.beatop+plugins,com.beatop,plugins,1.0.2,Landroid.accounts.AccountManager;->getAccounts,[Lorg/apache/cordova/contacts/ContactAccessorSdk5; save (Lorg/json/JSONObject;)Ljava/lang/String;]
com.beatop+plugins,com.beatop,plugins,1.1.1,Landroid.accounts.AccountManager;->getAccounts,[Lorg/apache/cordova/contacts/ContactAccessorSdk5; save (Lorg/json/JSONObject;)Ljava/lang/String;]
com.beatop+plugins,com.beatop,plugins,1.1.2,Landroid.accounts.AccountManager;->getAccounts,[Lorg/apache/cordova/contacts/ContactAccessorSdk5; save (Lorg/json/JSONObject;)Ljava/lang/String;]
com.betaout.sdk+beta,com.betaout.sdk,beta,1.0.2093,Landroid.accounts.AccountManager;->getAccounts,[Lcom/betaout/sdk/b/h; a (Landroid/accounts/AccountManager;)[Landroid/accounts/Account;]
com.betaout.sdk+beta,com.betaout.sdk,beta,1.0.2093,Landroid.accounts.AccountManager;->getAccountsByType,[Lcom/betaout/sdk/b/h; a (Landroid/accounts/AccountManager;)[Landroid/accounts/Account;]
com.blandware.android.atleap+core,com.blandware.android.atleap,core,0.2,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/blandware/android/atleap/auth/AuthHelper; isAccountExist (Landroid/content/Context; Landroid/accounts/Account;)Z, Lcom/blandware/android/atleap/auth/AuthHelper; getFirstAccountByType (Landroid/content/Context; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; getAccount (Landroid/content/Context; Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/BaseAuthActivity; updateOrCreateAccount (Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/os/Bundle;)Landroid/accounts/Account;]"
com.blandware.android.atleap+core,com.blandware.android.atleap,core,0.2,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/blandware/android/atleap/auth/AuthHelper; isAccountExist (Landroid/content/Context; Landroid/accounts/Account;)Z, Lcom/blandware/android/atleap/auth/AuthHelper; getFirstAccountByType (Landroid/content/Context; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; getAccount (Landroid/content/Context; Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/BaseAuthActivity; updateOrCreateAccount (Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/os/Bundle;)Landroid/accounts/Account;]"
com.blandware.android.atleap+core,com.blandware.android.atleap,core,0.3,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/blandware/android/atleap/auth/AuthHelper; getAccount (Landroid/content/Context; Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; getFirstAccountByType (Landroid/content/Context; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; isAccountExist (Landroid/content/Context; Landroid/accounts/Account;)Z, Lcom/blandware/android/atleap/auth/BaseAuthActivity; updateOrCreateAccount (Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/os/Bundle;)Landroid/accounts/Account;]"
com.blandware.android.atleap+core,com.blandware.android.atleap,core,0.3,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/blandware/android/atleap/auth/AuthHelper; getAccount (Landroid/content/Context; Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; getFirstAccountByType (Landroid/content/Context; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; isAccountExist (Landroid/content/Context; Landroid/accounts/Account;)Z, Lcom/blandware/android/atleap/auth/BaseAuthActivity; updateOrCreateAccount (Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/os/Bundle;)Landroid/accounts/Account;]"
com.blandware.android.atleap+core,com.blandware.android.atleap,core,0.4,Landroid.accounts.AccountManager;->getAccounts,"[Lcom/blandware/android/atleap/auth/BaseAuthActivity; updateOrCreateAccount (Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/os/Bundle;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; isAccountExist (Landroid/content/Context; Landroid/accounts/Account;)Z, Lcom/blandware/android/atleap/auth/AuthHelper; getFirstAccountByType (Landroid/content/Context; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; getAccount (Landroid/content/Context; Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;]"
com.blandware.android.atleap+core,com.blandware.android.atleap,core,0.4,Landroid.accounts.AccountManager;->getAccountsByType,"[Lcom/blandware/android/atleap/auth/BaseAuthActivity; updateOrCreateAccount (Ljava/lang/String; Ljava/lang/String; Ljava/lang/String; Landroid/os/Bundle;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; isAccountExist (Landroid/content/Context; Landroid/accounts/Account;)Z, Lcom/blandware/android/atleap/auth/AuthHelper; getFirstAccountByType (Landroid/content/Context; Ljava/lang/String;)Landroid/accounts/Account;, Lcom/blandware/android/atleap/auth/AuthHelper; getAccount (Landroid/content/Context; Ljava/lang/String; Ljava/lang/String;)Landroid/accounts/Account;]"
com.bytedance.ttgame+gsdk_wrapper_account_CnRelease,com.bytedance.ttgame,gsdk_wrapper_account_CnRelease,1.0.0,Landroid.accounts.AccountManager;->getAccounts,"[Lg/wrapper_account/fu$4; run ()V, Lg/wrapper_account/fu$3; run ()V]"
com.bytedance.ttgame+gsdk_wrapper_account_CnRelease,com.bytedance.ttgame,gsdk_wrapper_account_CnRelease,1.0.0,Landroid.accounts.AccountManager;->getAccountsByType,"[Lg/wrapper_account/fu$4; run ()V, Lg/wrapper_account/fu$3; run ()V]"
com.bytedance.ttgame+gsdk_wrapper_account_CnRelease,com.bytedance.ttgame,gsdk_wrapper_account_CnRelease,1.0.1,Landroid.accounts.AccountManager;->getAccounts,"[Lg/wrapper_account/fu$4; run ()V, Lg/wrapper_account/fu$3; run ()V]"
com.bytedance.ttgame+gsdk_wrapper_account_CnRelease,com.bytedance.ttgame,gsdk_wrapper_account_CnRelease,1.0.1,Landroid.accounts.AccountManager;->getAccountsByType,"[Lg/wrapper_account/fu$4; run ()V, Lg/wrapper_account/fu$3; run ()V]"
com.bytedance.ttgame+gsdk_wrapper_account_CnRelease,com.bytedance.ttgame,gsdk_wrapper_account_CnRelease,3200.0.1-rc12,Landroid.accounts.AccountManager;->getAccounts,"[Lg/wrapper_account/fu$3; run ()V, Lg/wrapper_account/fu$4; run ()V]"
